|KRAI        |550   kHz |AM |-   |DAN |Nighttime           |B  |B  |LIC    |CRAIG                    |CO |US |BL     --           |0.5    kW |-         |-       |-       |72436      |N |40 |32 |45.00 |W |107 |31 |52.00 |BLIZZARD BROADCASTING, LLC                                                                          |   0.00 km |   0.00 mi |  0.00 deg |314634    |
|WDUN        |550   kHz |AM |-   |DAN |Daytime             |B  |B  |LIC    |GAINESVILLE              |GA |US |BL     -19970401AM  |10.0   kW |-         |-       |-       |32976      |N |34 |20 |8.00  |W |83  |47 |32.00 |JACOBS MEDIA CORPORATION                                                                            |   0.00 km |   0.00 mi |  0.00 deg |420167    |
|WDUN        |550   kHz |AM |-   |DAN |Nighttime           |B  |B  |LIC    |GAINESVILLE              |GA |US |BL     -19970401AM  |2.5    kW |-         |-       |-       |32976      |N |34 |20 |8.00  |W |83  |47 |32.00 |JACOBS MEDIA CORPORATION                                                                            |   0.00 km |   0.00 mi |  0.00 deg |420167    |
|KBOW        |550   kHz |AM |-   |DAN |Daytime             |B  |B  |LIC    |BUTTE                    |MT |US |BL     -10294       |5.0    kW |-         |-       |-       |7911       |N |45 |58 |30.00 |W |112 |34 |18.00 |BUTTE BROADCASTING INCORPORATED                                                                     |   0.00 km |   0.00 mi |  0.00 deg |314637    |
|KBOW        |550   kHz |AM |-   |DAN |Nighttime           |B  |B  |LIC    |BUTTE                    |MT |US |BL     -10294       |1.0    kW |-         |-       |-       |7911       |N |45 |58 |30.00 |W |112 |34 |18.00 |BUTTE BROADCASTING INCORPORATED                                                                     |   0.00 km |   0.00 mi |  0.00 deg |314637    |
|WIOZ        |550   kHz |AM |-   |DA2 |Daytime             |B  |B  |LIC    |PINEHURST                |NC |US |BL     -19800318AH  |1.0    kW |-         |-       |-       |46949      |N |35 |9  |4.00  |W |79  |28 |40.00 |MUIRFIELD BROADCASTING, INC.                                                                        |   0.00 km |   0.00 mi |  0.00 deg |18471     |
|WIOZ        |550   kHz |AM |-   |DA2 |Nighttime           |B  |B  |LIC    |PINEHURST                |NC |US |BL     -19800318AH  |0.26   kW |-         |-       |-       |46949      |N |35 |9  |4.00  |W |79  |28 |40.00 |MUIRFIELD BROADCASTING, INC.                                                                        |   0.00 km |   0.00 mi |  0.00 deg |18471     |
|KFYR        |550   kHz |AM |-   |DAN |Daytime             |B  |B  |LIC    |BISMARCK                 |ND |US |BL     --           |5.0    kW |-         |-       |-       |41426      |N |46 |51 |12.00 |W |100 |32 |37.00 |CITICASTERS LICENSES, INC.                                                                          |   0.00 km |   0.00 mi |  0.00 deg |314639    |
|KFYR        |550   kHz |AM |-   |DAN |Nighttime           |B  |B  |LIC    |BISMARCK                 |ND |US |BL     --           |5.0    kW |-         |-       |-       |41426      |N |46 |51 |12.00 |W |100 |32 |37.00 |CITICASTERS LICENSES, INC.                                                                          |   0.00 km |   0.00 mi |  0.00 deg |314639    |
|WKRC        |550   kHz |AM |-   |DA2 |Daytime             |B  |B  |LIC    |CINCINNATI               |OH |US |BL     --           |5.0    kW |-         |-       |-       |29737      |N |39 |0  |29.00 |W |84  |26 |39.00 |CITICASTERS LICENSES, INC.                                                                          |   0.00 km |   0.00 mi |  0.00 deg |314640    |
|WKRC        |550   kHz |AM |-   |DA2 |Nighttime           |B  |B  |LIC    |CINCINNATI               |OH |US |BL     --           |1.0    kW |-         |-       |-       |29737      |N |39 |0  |29.00 |W |84  |26 |39.00 |CITICASTERS LICENSES, INC.                                                                          |   0.00 km |   0.00 mi |  0.00 deg |314640    |
|KOAC        |550   kHz |AM |-   |DA2 |Daytime             |B  |B  |LIC    |CORVALLIS                |OR |US |BL     -2856        |5.0    kW |-         |-       |-       |50587      |N |44 |38 |12.00 |W |123 |11 |33.00 |OREGON PUBLIC BROADCASTING                                                                          |   0.00 km |   0.00 mi |  0.00 deg |314641    |
|KOAC        |550   kHz |AM |-   |DA2 |Nighttime           |B  |B  |LIC    |CORVALLIS                |OR |US |BL     -2856        |5.0    kW |-         |-       |-       |50587      |N |44 |38 |12.00 |W |123 |11 |33.00 |OREGON PUBLIC BROADCASTING                                                                          |   0.00 km |   0.00 mi |  0.00 deg |314641    |
|KCRS        |550   kHz |AM |-   |DA2 |Daytime             |B  |B  |LIC    |MIDLAND                  |TX |US |BL     -11253       |5.0    kW |-         |-       |-       |42015      |N |32 |4  |10.00 |W |102 |1  |46.00 |ICA RADIO, LTD.                                                                                     |   0.00 km |   0.00 mi |  0.00 deg |314644    |
|KCRS        |550   kHz |AM |-   |DA2 |Nighttime           |B  |B  |LIC    |MIDLAND                  |TX |US |BL     -11253       |1.0    kW |-         |-       |-       |42015      |N |32 |4  |10.00 |W |102 |1  |46.00 |ICA RADIO, LTD.                                                                                     |   0.00 km |   0.00 mi |  0.00 deg |314644    |
